ind,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
